批次	样本名	24标签	barcode新编号	barcode原编号	RUN号	DPN名称	服务器	fastq文件	reads数	参考序列	参考长度bp	备注
第二批	7-10	24标签-7	barcode-07	Adaptor-barcode261-3	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode07.fastq	10718	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR7-10.intersect.fa	687	
第二批	12-9	24标签-8	barcode-08	Adaptor-barcode206-3	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode08.fastq	8588	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR12-9.intersect.fa	677	
第二批	25-1	24标签-9	barcode-09	Adaptor-barcode230-2	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode09.fastq	15655	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR25-1.intersect.fa	788	
第二批	27-1	24标签-10	barcode-10	Adaptor-barcode256-3	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode10.fastq	14408	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-1.intersect.fa	384	
第二批	27-4	24标签-11	barcode-11	Adaptor-barcode207-4	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode11.fastq	12337	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-4.intersect.fa	629	
第二批	27-9	24标签-12	barcode-12	Adaptor-barcode222-2	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode12.fastq	21028	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-9.intersect.fa	377	
第二批	28-1	24标签-13	barcode-13	Adaptor-barcode270-0	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode13.fastq	18537	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-1.intersect.fa	738	
第二批	28-2	24标签-14	barcode-14	Adaptor-barcode201-5	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode14.fastq	23013	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-2.intersect.fa	741	
第二批	28-3	24标签-15	barcode-15	Adaptor-barcode253-4	20260805_250302Y0001_Run0007	1-15	72 服务器	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250302Y0001_Run0007/barcode_assign/Barcode15.fastq	11368	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-3.intersect.fa	744	
第二批	3N-1	24标签-1	barcode-01	Adaptor-barcode251-4	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode251-4.fastq	10143	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR3N-1.intersect.fa	871	
第二批	5-3	24标签-2	barcode-02	Adaptor-barcode250-4	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode250-4.fastq	32936	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR5-3.intersect.fa	784	
第二批	5-8	24标签-3	barcode-03	Adaptor-barcode271-3	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode271-3.fastq	17385	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR5-8.intersect.fa	790	
第二批	5-10	24标签-4	barcode-04	Adaptor-barcode266-2	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode266-2.fastq	33238	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR5-10.intersect.fa	787	
第二批	5-12	24标签-5	barcode-05	Adaptor-barcode229-0	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode229-0.fastq	24916	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR5-12.intersect.fa	789	
第二批	5-15	24标签-6	barcode-06	Adaptor-barcode255-3	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode255-3.fastq	15494	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR5-15.intersect.fa	780	
第二批	7-10	24标签-7	barcode-07	Adaptor-barcode261-3	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode261-3.fastq	15244	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR7-10.intersect.fa	687	
第二批	12-9	24标签-8	barcode-08	Adaptor-barcode206-3	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode206-3.fastq	11502	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR12-9.intersect.fa	677	
第二批	25-1	24标签-9	barcode-09	Adaptor-barcode230-2	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode230-2.fastq	20944	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR25-1.intersect.fa	788	
第二批	27-1	24标签-10	barcode-10	Adaptor-barcode256-3	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode256-3.fastq	20859	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-1.intersect.fa	384	
第二批	27-4	24标签-11	barcode-11	Adaptor-barcode207-4	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode207-4.fastq	16824	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-4.intersect.fa	629	
第二批	27-9	24标签-12	barcode-12	Adaptor-barcode222-2	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode222-2.fastq	29885	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR27-9.intersect.fa	377	
